	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-06-13.dat	Date	13/6/2025	Time	15:18:10 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
150.028	0.000	-6.423	0	0.000
210.012	0.000	-6.445	0	0.000
270.017	0.000	-6.440	0	0.000
330.046	0.000	-6.440	0	0.000
390.061	0.000	-6.440	0	0.000
450.035	0.000	-6.434	0	0.000
510.020	0.000	-6.440	0	0.000
570.034	0.000	-6.440	0	0.000
630.034	0.000	-6.439	0	0.000
690.018	0.000	-6.432	0	0.000
750.008	0.000	-6.440	0	0.000
810.012	0.000	-6.438	0	0.000
870.016	0.000	-6.430	0	0.000
930.006	0.000	-6.435	0	0.000
990.015	0.000	-6.440	0	0.000
1050.020	0.000	-6.430	0	0.000
1110.034	0.000	-6.430	0	0.000
1170.059	0.000	-6.435	0	0.000
1230.033	0.000	-6.433	0	0.000
1290.013	0.000	-6.430	0	0.000
1350.017	0.000	-6.430	0	0.000
1410.012	0.000	-6.430	0	0.000
1470.011	0.000	-6.430	0	0.000
1530.021	0.000	-6.430	0	0.000
1590.040	0.000	-6.430	0	0.000
1650.030	0.000	-6.430	0	0.000
1710.029	0.000	-6.428	0	0.000
1770.044	0.000	-6.420	0	0.000
1830.018	0.000	-6.428	0	0.000
1890.008	0.000	-6.430	0	0.000
1950.012	0.000	-6.420	0	0.000
2010.007	0.000	-6.420	0	0.000
2070.001	0.000	-6.420	0	0.000
2130.006	0.000	-6.420	0	0.000
2190.025	0.000	-6.420	0	0.000
2250.024	0.000	-6.420	0	0.000
2310.009	0.000	-6.420	0	0.000
2370.023	0.000	-6.420	0	0.000
2430.048	0.000	-6.410	0	0.000
2490.042	0.000	-6.419	0	0.000
2550.037	0.000	-6.420	0	0.000
2610.041	0.000	-6.413	0	0.000
2670.031	0.000	-6.410	0	0.000
2730.035	0.000	-6.410	0	0.000
2790.035	0.000	-6.410	0	0.000
2850.014	0.000	-6.410	0	0.000
2910.019	0.000	-6.410	0	0.000
2970.023	0.000	-6.410	0	0.000
3030.018	0.000	-6.408	0	0.000
3090.032	0.000	-6.400	0	0.000
3150.027	0.000	-6.405	0	0.000
3210.006	0.000	-6.410	0	0.000
3270.026	0.000	-6.400	0	0.000
3330.035	0.000	-6.400	0	0.000
3390.015	0.000	-6.400	0	0.000
3450.024	0.000	-6.400	0	0.000
3510.048	0.000	-6.396	0	0.000
3570.058	0.000	-6.395	0	0.000
3630.032	0.000	-6.400	0	0.000
3690.032	0.000	-6.396	0	0.000
3750.056	0.000	-6.390	0	0.000
3810.036	0.000	-6.390	0	0.000
3870.035	0.000	-6.390	0	0.000
3930.035	0.000	-6.390	0	0.000
3990.024	0.000	-6.390	0	0.000
4050.044	0.000	-6.390	0	0.000
4110.048	0.000	-6.390	0	0.000
4170.028	0.000	-6.381	0	0.000
4230.007	0.000	-6.389	0	0.000
4290.007	0.000	-6.388	0	0.000
4350.031	0.000	-6.380	0	0.000
4410.046	0.000	-6.380	0	0.000
4470.025	0.000	-6.380	0	0.000
4530.010	0.000	-6.380	0	0.000
4590.034	0.000	-6.380	0	0.000
4650.044	0.000	-6.380	0	0.000
4710.028	0.000	-6.380	0	0.000
4770.017	0.000	-6.374	0	0.000
4830.032	0.000	-6.370	0	0.000
4890.031	0.000	-6.376	0	0.000
4950.026	0.000	-6.376	0	0.000
5010.040	0.000	-6.370	0	0.000
5070.020	0.000	-6.370	0	0.000
5130.004	0.000	-6.370	0	0.000
5190.004	0.000	-6.367	0	0.000
5250.028	0.000	-6.360	0	0.000
5310.038	0.000	-6.360	0	0.000
5370.037	0.000	-6.360	0	0.000
5430.052	0.000	-6.360	0	0.000
5490.031	0.000	-6.360	0	0.000
5550.021	0.000	-6.360	0	0.000
5610.025	0.000	-6.360	0	0.000
5670.030	0.000	-6.353	0	0.000
5730.049	0.000	-6.350	0	0.000
5790.054	0.000	-6.350	0	0.000
5850.028	0.000	-6.350	0	0.000
5910.033	0.000	-6.344	0	0.000
5970.037	0.000	-6.340	0	0.000
6030.011	0.000	-6.340	0	0.000
6090.021	0.000	-6.340	0	0.000
6150.045	0.000	-6.340	0	0.000
6210.050	0.000	-6.331	0	0.000
6270.029	0.000	-6.339	0	0.000
6330.034	0.000	-6.334	0	0.000
6390.048	0.000	-6.330	0	0.000
6450.043	0.000	-6.330	0	0.000
6510.027	0.000	-6.330	0	0.000
6570.032	0.000	-6.323	0	0.000
6630.046	0.000	-6.320	0	0.000
6690.046	0.000	-6.320	0	0.000
6750.045	0.000	-6.320	0	0.000
6810.050	0.000	-6.314	0	0.000
6870.039	0.000	-6.310	0	0.000
6930.034	0.000	-6.310	0	0.000
6990.028	0.000	-6.310	0	0.000
7050.008	0.000	-6.305	0	0.000
7110.022	0.000	-6.300	0	0.000
7170.027	0.000	-6.300	0	0.000
7230.011	0.000	-6.300	0	0.000
7290.025	0.000	-6.298	0	0.000
7350.030	0.000	-6.290	0	0.000
7410.034	0.000	-6.290	0	0.000
7470.029	0.000	-6.290	0	0.000
7530.028	0.000	-6.290	0	0.000
7590.028	0.000	-6.280	0	0.000
7650.027	0.000	-6.288	0	0.000
7710.027	0.000	-6.282	0	0.000
7770.021	0.000	-6.277	0	0.000
7830.026	0.000	-6.270	0	0.000
7890.025	0.000	-6.270	0	0.000
7950.040	0.000	-6.270	0	0.000
8010.044	0.000	-6.262	0	0.000
8070.049	0.000	-6.260	0	0.000
8130.038	0.000	-6.260	0	0.000
8190.028	0.000	-6.257	0	0.000
8250.042	0.000	-6.250	0	0.000
8310.037	0.000	-6.250	0	0.000
8370.036	0.000	-6.250	0	0.000
8430.046	0.000	-6.246	0	0.000
8490.045	0.000	-6.240	0	0.000
8550.039	0.000	-6.240	0	0.000
8610.029	0.000	-6.240	0	0.000
8670.043	0.000	-6.236	0	0.000
8730.043	0.000	-6.230	0	0.000
8790.042	0.000	-6.230	0	0.000
8850.037	0.000	-6.230	0	0.000
8910.036	0.000	-6.222	0	0.000
8970.041	0.000	-6.220	0	0.000
9030.035	0.000	-6.220	0	0.000
9090.030	0.000	-6.217	0	0.000
9150.034	0.000	-6.210	0	0.000
9210.049	0.000	-6.206	0	0.000
9270.033	0.000	-6.200	0	0.000
9330.033	0.000	-6.200	0	0.000
9390.027	0.000	-6.199	0	0.000
9450.012	0.000	-6.190	0	0.000
9510.011	0.000	-6.190	0	0.000
9570.011	0.000	-6.189	0	0.000
9630.020	0.000	-6.180	0	0.000
9690.015	0.000	-6.180	0	0.000
9750.019	0.000	-6.180	0	0.000
9810.044	0.000	-6.176	0	0.000
9870.043	0.000	-6.170	0	0.000
9930.032	0.000	-6.170	0	0.000
9990.032	0.000	-6.170	0	0.000
10050.016	0.000	-6.160	0	0.000
10110.011	0.000	-6.156	0	0.000
10170.015	0.000	-6.150	0	0.000
10230.025	0.000	-6.150	0	0.000
10290.029	0.000	-6.144	0	0.000
10350.039	0.000	-6.140	0	0.000
10410.048	0.000	-6.140	0	0.000
10470.023	0.000	-6.138	0	0.000
10530.017	0.000	-6.130	0	0.000
10590.042	0.000	-6.130	0	0.000
10650.056	0.000	-6.130	0	0.000
10710.051	0.000	-6.124	0	0.000
10770.045	0.000	-6.120	0	0.000
10830.030	0.000	-6.110	0	0.000
10890.019	0.000	-6.110	0	0.000
10950.014	0.000	-6.110	0	0.000
11010.028	0.000	-6.100	0	0.000
11070.053	0.000	-6.100	0	0.000
11130.027	0.000	-6.098	0	0.000
11190.006	0.000	-6.090	0	0.000
11250.031	0.000	-6.090	0	0.000
11310.030	0.000	-6.090	0	0.000
11370.030	0.000	-6.082	0	0.000
11430.029	0.000	-6.074	0	0.000
11490.034	0.000	-6.070	0	0.000
11550.053	0.000	-6.070	0	0.000
11610.028	0.000	-6.061	0	0.000
11670.012	0.000	-6.060	0	0.000
11730.032	0.000	-6.060	0	0.000
11790.026	0.000	-6.052	0	0.000
11850.026	0.000	-6.050	0	0.000
11910.035	0.000	-6.050	0	0.000
11970.015	0.000	-6.045	0	0.000
12030.029	0.000	-6.040	0	0.000
12090.049	0.000	-6.040	0	0.000
12150.048	0.000	-6.037	0	0.000
12210.028	0.000	-6.030	0	0.000
12270.007	0.000	-6.030	0	0.000
12330.032	0.000	-6.024	0	0.000
12390.026	0.000	-6.018	0	0.000
12450.015	0.000	-6.010	0	0.000
12510.025	0.000	-6.010	0	0.000
12570.024	0.000	-6.007	0	0.000
12630.019	0.000	-6.000	0	0.000
12690.018	0.000	-6.000	0	0.000
12750.033	0.000	-5.998	0	0.000
12810.047	0.000	-5.990	0	0.000
12870.047	0.000	-5.990	0	0.000
12930.021	0.000	-5.985	0	0.000
12990.016	0.000	-5.979	0	0.000
13050.025	0.000	-5.971	0	0.000
13110.030	0.000	-5.975	0	0.000
13170.024	0.000	-5.966	0	0.000
13230.024	0.000	-5.960	0	0.000
13290.048	0.000	-5.960	0	0.000
13350.053	0.000	-5.954	0	0.000
13410.042	0.000	-5.950	0	0.000
13470.032	0.000	-5.950	0	0.000
13530.031	0.000	-5.946	0	0.000
13590.036	0.000	-5.940	0	0.000
13650.045	0.000	-5.940	0	0.000
13710.059	0.000	-5.938	0	0.000
13770.034	0.000	-5.927	0	0.000
13830.028	0.000	-5.920	0	0.000
13890.048	0.000	-5.920	0	0.000
13950.047	0.000	-5.912	0	0.000
14010.042	0.000	-5.910	0	0.000
14070.026	0.000	-5.910	0	0.000
14130.031	0.000	-5.902	0	0.000
14190.030	0.000	-5.897	0	0.000
14250.010	0.000	-5.890	0	0.000
14310.004	0.000	-5.890	0	0.000
