	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-20-06bis.dat	Date	20/6/2025	Time	16:56:53 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
0.021	0.000	0.000	0	0.000
30.048	0.000	0.000	0	0.000
90.023	0.000	0.000	0	0.000
150.032	0.000	0.115	0	0.000
210.041	0.000	-0.011	0	0.000
270.031	0.000	-0.010	0	0.000
330.026	0.000	-0.005	0	0.000
390.025	0.000	0.000	0	0.000
450.555	0.000	0.000	0	0.000
510.569	0.000	0.000	0	0.000
570.039	0.000	0.000	0	0.000
630.013	0.000	0.000	0	0.000
690.008	0.000	0.000	0	0.000
750.032	0.000	0.000	0	0.000
810.052	0.000	0.001	0	0.000
870.046	0.000	0.010	0	0.000
930.026	0.000	0.010	0	0.000
990.025	0.000	0.010	0	0.000
1050.025	0.000	0.010	0	0.000
1110.029	0.000	0.010	0	0.000
1170.039	0.000	0.010	0	0.000
1230.023	0.000	0.016	0	0.000
1290.023	0.000	0.020	0	0.000
1350.052	0.000	0.020	0	0.000
1411.752	0.000	0.020	0	0.000
1471.726	0.000	0.020	0	0.000
1530.040	0.000	0.020	0	0.000
1590.070	0.000	0.026	0	0.000
1650.064	0.000	0.030	0	0.000
1710.034	0.000	0.030	0	0.000
1770.028	0.000	0.030	0	0.000
1830.028	0.000	0.030	0	0.000
1890.012	0.000	0.030	0	0.000
1950.012	0.000	0.032	0	0.000
2010.011	0.000	0.040	0	0.000
2070.026	0.000	0.040	0	0.000
2130.035	0.000	0.040	0	0.000
2190.035	0.000	0.040	0	0.000
2250.049	0.000	0.044	0	0.000
2310.034	0.000	0.050	0	0.000
2370.033	0.000	0.050	0	0.000
2430.053	0.000	0.050	0	0.000
2490.052	0.000	0.059	0	0.000
2550.031	0.000	0.060	0	0.000
2610.041	0.000	0.060	0	0.000
2670.035	0.000	0.060	0	0.000
2730.005	0.000	0.060	0	0.000
2790.014	0.000	0.060	0	0.000
2850.034	0.000	0.066	0	0.000
2910.058	0.000	0.070	0	0.000
2970.038	0.000	0.070	0	0.000
3030.027	0.000	0.070	0	0.000
3090.027	0.000	0.077	0	0.000
3150.001	0.000	0.080	0	0.000
3210.036	0.000	0.080	0	0.000
3270.050	0.000	0.080	0	0.000
3330.030	0.000	0.086	0	0.000
3390.044	0.000	0.090	0	0.000
3450.034	0.000	0.090	0	0.000
3510.018	0.000	0.090	0	0.000
3570.048	0.000	0.100	0	0.000
3630.072	0.000	0.100	0	0.000
3690.077	0.000	0.100	0	0.000
3750.051	0.000	0.102	0	0.000
3810.021	0.000	0.110	0	0.000
3870.020	0.000	0.110	0	0.000
3930.024	0.000	0.110	0	0.000
3990.019	0.000	0.110	0	0.000
4050.018	0.000	0.119	0	0.000
4110.025	0.000	0.120	0	0.000
4170.050	0.000	0.120	0	0.000
4230.037	0.000	0.120	0	0.000
4290.004	0.000	0.130	0	0.000
4350.068	0.000	0.130	0	0.000
